Customer_ID,Credit_Limit,Current_Balance,KYC_Last_Updated,Last_Payment_Date,Account_Status,Txn_Count_Last_30_Days,Total_Txn_Amount_Last_30_Days,Late_Fees_Accrued,Region,KYC_parsed,Payment_Parsed,KYC_Violation,Payment_Overdue,Overlimit_Violation,High_risk_status,Late_fee_alert,Total_violation,Compliance_Risk_Score,Violation_Explanation
CUST0040,82711,25351,30-11-2023,03-05-2023,Watchlist,4,45082.72,3212,East,2023-11-30,2023-05-03,True,True,False,True,True,4,10,"KYC Violation, Payment Overdue, High-Risk Status, Late Fee Alert"
CUST0041,55539,23132,12-02-2025,25-07-2023,Active,32,30770.21,989,North,2025-02-12,2023-07-25,False,True,False,False,False,1,3,Payment Overdue
CUST0042,176063,114585,01-01-2025,21-09-2024,Active,0,12973.3,2262,North,2025-01-01,2024-09-21,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0043,183629,146377,30-11-2024,15-03-2023,Active,17,25414.14,2482,East,2024-11-30,2023-03-15,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0044,88360,75353,28-09-2024,09-01-2025,Active,31,17187.08,951,North,2024-09-28,2025-01-09,False,True,False,False,False,1,3,Payment Overdue
CUST0045,183272,65953,29-10-2024,28-09-2022,Active,46,46750.9,722,South,2024-10-29,2022-09-28,False,True,True,False,False,2,5,"Payment Overdue, Overlimit Violation"
CUST0046,71357,113933,30-12-2024,15-03-2025,Active,48,1369.18,3389,West,2024-12-30,2025-03-15,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0047,169121,20358,01-09-2024,26-03-2025,Active,10,12041.31,2079,South,2024-09-01,2025-03-26,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0048,127505,3267,27-08-2024,26-08-2024,Closed,20,18902.48,2717,West,2024-08-27,2024-08-26,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0049,52869,17209,21-01-2025,13-05-2023,Active,25,24902.68,2332,North,2025-01-21,2023-05-13,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0050,100108,89588,29-08-2024,26-08-2024,Closed,24,42690.06,3376,South,2024-08-29,2024-08-26,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0051,162296,201809,10-01-2025,02-07-2025,Active,21,5306.49,4524,North,2025-01-10,2025-07-02,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0052,144179,11338,03-01-2025,07-06-2025,Closed,26,40487.38,1500,West,2025-01-03,2025-06-07,False,False,False,False,False,0,0,""
CUST0053,140272,131484,16-05-2025,24-05-2025,Watchlist,48,3727.02,285,East,2025-05-16,2025-05-24,False,False,False,True,False,1,4,High-Risk Status
CUST0054,88467,97010,23-11-2024,18-05-2025,Delinquent,12,42273.39,3495,East,2024-11-23,2025-05-18,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0055,73328,33496,02-08-2024,18-05-2025,Closed,32,3530.14,2065,South,2024-08-02,2025-05-18,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0056,141412,60692,03-03-2025,23-06-2025,Active,33,1893.88,768,North,2025-03-03,2025-06-23,False,False,True,False,False,1,2,Overlimit Violation
CUST0057,185059,209607,11-04-2025,08-06-2025,Delinquent,40,35151.11,3057,North,2025-04-11,2025-06-08,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0058,108871,92920,12-09-2024,03-06-2025,Active,34,49865.52,4289,South,2024-09-12,2025-06-03,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0059,178391,44425,20-01-2025,08-06-2025,Closed,0,44933.9,2161,East,2025-01-20,2025-06-08,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0060,136416,176172,20-08-2024,07-06-2025,Active,20,29223.92,3293,West,2024-08-20,2025-06-07,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0061,120271,140159,19-04-2025,10-06-2025,Active,47,45952.39,946,South,2025-04-19,2025-06-10,False,False,True,False,False,1,2,Overlimit Violation
CUST0062,94064,35735,08-12-2024,06-07-2025,Active,5,1259.7,4926,West,2024-12-08,2025-07-06,False,False,False,False,True,1,1,Late Fee Alert
CUST0063,157450,205745,28-05-2025,27-06-2025,Active,27,48778.29,3335,East,2025-05-28,2025-06-27,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0064,69830,119646,23-05-2025,15-05-2025,Active,16,25046.69,4150,North,2025-05-23,2025-05-15,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0065,198501,83042,12-01-2025,24-06-2025,Active,4,36421.91,4895,East,2025-01-12,2025-06-24,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0066,187965,85999,02-05-2025,22-06-2025,Active,30,41222.21,4873,South,2025-05-02,2025-06-22,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0067,166381,17955,17-10-2024,22-06-2025,Closed,4,36204.41,1481,North,2024-10-17,2025-06-22,False,False,True,False,False,1,2,Overlimit Violation
CUST0068,97333,136174,06-07-2025,18-05-2025,Closed,37,27216.8,1901,South,2025-07-06,2025-05-18,False,True,False,False,False,1,3,Payment Overdue
CUST0069,184508,70640,15-08-2024,15-05-2025,Closed,2,24354.35,3451,South,2024-08-15,2025-05-15,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0070,126213,65510,03-08-2024,06-06-2025,Active,22,42090.55,4064,East,2024-08-03,2025-06-06,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0071,186967,165983,14-06-2025,27-06-2025,Delinquent,36,11048.8,54,South,2025-06-14,2025-06-27,False,False,False,False,False,0,0,""
CUST0072,80746,59031,04-11-2024,02-06-2025,Active,36,48431.71,1823,East,2024-11-04,2025-06-02,False,False,False,False,False,0,0,""
CUST0073,99377,123567,06-12-2024,02-07-2025,Closed,9,35836.67,3462,North,2024-12-06,2025-07-02,False,False,False,False,True,1,1,Late Fee Alert
CUST0074,104045,7357,20-08-2024,06-07-2025,Closed,9,10775.84,3079,East,2024-08-20,2025-07-06,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0075,147888,61476,07-11-2024,18-05-2025,Active,18,37076.11,832,North,2024-11-07,2025-05-18,False,True,True,False,False,2,5,"Payment Overdue, Overlimit Violation"
CUST0076,157455,44811,31-08-2024,27-05-2025,Active,16,26962.16,4408,East,2024-08-31,2025-05-27,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0077,186672,167280,21-01-2025,24-05-2025,Active,20,35654.27,2806,West,2025-01-21,2025-05-24,False,False,False,False,True,1,1,Late Fee Alert
CUST0078,143179,164329,30-11-2024,24-05-2025,Active,13,38621.2,2490,West,2024-11-30,2025-05-24,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0079,95714,71180,28-02-2025,15-06-2025,Delinquent,8,5277.22,327,South,2025-02-28,2025-06-15,False,False,False,False,False,0,0,""
CUST0080,152946,112856,01-06-2025,09-06-2025,Active,45,25799.09,3310,East,2025-06-01,2025-06-09,False,False,False,False,True,1,1,Late Fee Alert
CUST0081,159616,68450,13-01-2025,20-05-2025,Active,0,46668.7,3300,East,2025-01-13,2025-05-20,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0082,155983,152424,02-10-2024,08-06-2025,Active,44,16711.47,3675,North,2024-10-02,2025-06-08,False,False,False,False,True,1,1,Late Fee Alert
CUST0083,174123,111888,16-01-2025,23-05-2025,Watchlist,12,30100.27,3054,South,2025-01-16,2025-05-23,False,False,False,True,True,2,5,"High-Risk Status, Late Fee Alert"
CUST0084,199661,110448,08-01-2025,29-05-2025,Active,3,19092.29,2143,East,2025-01-08,2025-05-29,False,False,False,False,True,1,1,Late Fee Alert
CUST0085,93484,14397,26-10-2024,10-06-2025,Active,0,23259.13,1311,South,2024-10-26,2025-06-10,False,False,False,False,False,0,0,""
CUST0086,132989,131800,19-06-2025,27-05-2025,Active,48,27881.55,3191,West,2025-06-19,2025-05-27,False,False,False,False,True,1,1,Late Fee Alert
CUST0087,86212,87910,24-11-2024,06-07-2025,Closed,39,27897.18,2538,East,2024-11-24,2025-07-06,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0088,93525,39954,05-07-2025,10-07-2025,Active,31,10884.79,3983,East,2025-07-05,2025-07-10,False,False,False,False,True,1,1,Late Fee Alert
CUST0089,113208,47280,25-06-2025,16-05-2025,Closed,33,34544.01,4547,South,2025-06-25,2025-05-16,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0090,83828,79459,07-06-2025,09-06-2025,Active,27,5305.54,164,East,2025-06-07,2025-06-09,False,False,False,False,False,0,0,""
CUST0091,199783,147851,16-08-2024,02-07-2025,Closed,30,7802.41,4277,South,2024-08-16,2025-07-02,False,False,False,False,True,1,1,Late Fee Alert
CUST0092,53420,7400,18-05-2025,06-07-2025,Closed,7,1132.83,822,East,2025-05-18,2025-07-06,False,False,True,False,False,1,2,Overlimit Violation
CUST0093,146752,59163,01-06-2025,05-07-2025,Delinquent,38,6718.11,943,North,2025-06-01,2025-07-05,False,False,True,False,False,1,2,Overlimit Violation
CUST0094,181373,51934,06-10-2024,16-06-2025,Active,25,24185.14,4425,South,2024-10-06,2025-06-16,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0095,165294,163379,10-04-2025,18-05-2025,Active,33,30698.99,774,East,2025-04-10,2025-05-18,False,True,False,False,False,1,3,Payment Overdue
CUST0096,174019,54098,13-11-2024,15-05-2025,Active,2,39920.18,2198,West,2024-11-13,2025-05-15,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0097,115726,60921,02-10-2024,22-06-2025,Active,49,6228.26,3156,East,2024-10-02,2025-06-22,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0098,191564,5486,04-03-2025,15-06-2025,Closed,11,42685.65,4242,West,2025-03-04,2025-06-15,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0099,165668,139407,21-01-2025,04-07-2025,Closed,0,37552.75,3695,West,2025-01-21,2025-07-04,False,False,False,False,True,1,1,Late Fee Alert
CUST0100,56102,78466,26-11-2024,12-05-2025,Active,43,21017.4,3452,North,2024-11-26,2025-05-12,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0101,168015,126020,03-06-2025,17-05-2025,Active,4,46713.97,914,South,2025-06-03,2025-05-17,False,True,False,False,False,1,3,Payment Overdue
CUST0102,76641,11130,28-06-2025,10-07-2025,Active,29,49555.54,1308,East,2025-06-28,2025-07-10,False,False,False,False,False,0,0,""
CUST0103,153746,176718,22-04-2025,29-06-2025,Active,29,11045.09,4177,North,2025-04-22,2025-06-29,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0104,86631,128050,31-10-2024,05-07-2025,Active,16,19582.2,513,East,2024-10-31,2025-07-05,False,False,False,False,False,0,0,""
CUST0105,122991,118324,26-06-2025,27-05-2025,Active,47,46396.02,1920,West,2025-06-26,2025-05-27,False,False,False,False,False,0,0,""
CUST0106,54014,1167,24-12-2024,22-05-2025,Closed,46,36358.23,3594,South,2024-12-24,2025-05-22,False,False,False,False,True,1,1,Late Fee Alert
CUST0107,61093,27192,08-08-2024,07-06-2025,Delinquent,22,3356.64,4841,East,2024-08-08,2025-06-07,False,False,False,False,True,1,1,Late Fee Alert
CUST0108,68070,1062,05-11-2024,12-06-2025,Active,14,39294.21,1409,East,2024-11-05,2025-06-12,False,False,False,False,False,0,0,""
CUST0109,85777,105317,27-07-2024,11-06-2025,Watchlist,36,41569.1,4802,West,2024-07-27,2025-06-11,False,False,False,True,True,2,5,"High-Risk Status, Late Fee Alert"
CUST0110,106958,89780,19-12-2024,25-05-2025,Active,20,37774.59,4566,East,2024-12-19,2025-05-25,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0111,132074,21689,01-02-2025,06-07-2025,Active,13,40177.32,3190,East,2025-02-01,2025-07-06,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0112,60729,11174,25-11-2024,06-06-2025,Watchlist,1,41431.5,4491,West,2024-11-25,2025-06-06,False,False,False,True,True,2,5,"High-Risk Status, Late Fee Alert"
CUST0113,155864,88461,13-08-2024,08-07-2025,Active,10,10133.84,1555,North,2024-08-13,2025-07-08,False,False,True,False,False,1,2,Overlimit Violation
CUST0114,180858,126174,27-10-2024,15-05-2025,Active,38,12548.9,804,West,2024-10-27,2025-05-15,False,True,False,False,False,1,3,Payment Overdue
CUST0115,155510,194007,27-04-2025,22-05-2025,Active,37,32054.17,1279,North,2025-04-27,2025-05-22,False,False,True,False,False,1,2,Overlimit Violation
CUST0116,104748,9348,19-12-2024,05-06-2025,Active,33,45485.44,3577,South,2024-12-19,2025-06-05,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0117,55801,80515,27-10-2024,12-05-2025,Active,37,16493.63,2901,North,2024-10-27,2025-05-12,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0118,79592,118694,11-06-2025,05-06-2025,Active,49,29827.03,1387,North,2025-06-11,2025-06-05,False,False,False,False,False,0,0,""
CUST0119,60647,8924,23-03-2025,28-05-2025,Active,33,34466.12,4688,South,2025-03-23,2025-05-28,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0120,189788,227886,29-01-2025,10-07-2025,Active,17,23145.48,2761,North,2025-01-29,2025-07-10,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0121,160627,186021,05-06-2025,01-07-2025,Active,29,35975.34,2679,West,2025-06-05,2025-07-01,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0122,120316,128117,02-03-2025,01-07-2025,Active,14,45083.7,2106,North,2025-03-02,2025-07-01,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0123,52368,37614,22-09-2024,10-06-2025,Active,26,31580.98,4223,South,2024-09-22,2025-06-10,False,False,False,False,True,1,1,Late Fee Alert
CUST0124,127575,72267,23-11-2024,30-05-2025,Active,33,27449.27,4831,West,2024-11-23,2025-05-30,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0125,56655,105791,20-09-2024,08-06-2025,Active,37,22498.49,2768,South,2024-09-20,2025-06-08,False,False,False,False,True,1,1,Late Fee Alert
CUST0126,120031,23625,14-11-2024,25-06-2025,Active,32,29296.83,3953,South,2024-11-14,2025-06-25,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0127,137922,156259,24-04-2025,27-06-2025,Active,23,18412.76,3186,East,2025-04-24,2025-06-27,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0128,174046,1542,12-04-2025,01-07-2025,Active,14,20182.62,3280,East,2025-04-12,2025-07-01,False,False,False,False,True,1,1,Late Fee Alert
CUST0129,194475,21677,22-11-2024,16-06-2025,Active,29,27061.02,2573,South,2024-11-22,2025-06-16,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0130,82097,129829,06-05-2025,23-06-2025,Active,41,4264.34,4616,South,2025-05-06,2025-06-23,False,False,False,False,True,1,1,Late Fee Alert
CUST0131,192038,181415,15-02-2025,26-06-2025,Active,16,12222.24,2599,South,2025-02-15,2025-06-26,False,False,False,False,True,1,1,Late Fee Alert
CUST0132,174862,39081,05-05-2025,12-06-2025,Closed,4,27599.62,4033,East,2025-05-05,2025-06-12,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0133,168834,93105,31-01-2025,21-05-2025,Delinquent,28,22144.88,236,East,2025-01-31,2025-05-21,False,False,True,False,False,1,2,Overlimit Violation
CUST0134,143848,19065,12-01-2025,24-05-2025,Closed,3,17307.97,1304,North,2025-01-12,2025-05-24,False,False,True,False,False,1,2,Overlimit Violation
CUST0135,102921,83460,31-10-2024,30-05-2025,Active,9,36796.91,3430,North,2024-10-31,2025-05-30,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0136,176141,199697,19-09-2024,25-05-2025,Closed,16,34992.16,1301,South,2024-09-19,2025-05-25,False,False,True,False,False,1,2,Overlimit Violation
CUST0137,72677,54693,28-03-2025,15-05-2025,Active,9,9169.81,2541,West,2025-03-28,2025-05-15,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0138,105609,26962,20-03-2025,18-06-2025,Delinquent,16,44052.83,2051,West,2025-03-20,2025-06-18,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0139,81024,28295,26-08-2024,28-06-2025,Active,19,25275.76,441,East,2024-08-26,2025-06-28,False,False,False,False,False,0,0,""
CUST0140,120313,13807,04-08-2024,15-06-2025,Watchlist,23,37331.58,2076,East,2024-08-04,2025-06-15,False,False,True,True,True,3,7,"Overlimit Violation, High-Risk Status, Late Fee Alert"
CUST0141,177813,173420,05-09-2024,15-05-2025,Active,4,29084.39,3180,East,2024-09-05,2025-05-15,False,True,False,False,True,2,4,"Payment Overdue, Late Fee Alert"
CUST0142,145285,132396,27-09-2024,28-06-2025,Active,33,49886.94,2657,South,2024-09-27,2025-06-28,False,False,False,False,True,1,1,Late Fee Alert
CUST0143,196410,91267,28-05-2025,01-06-2025,Active,5,37867.75,3798,West,2025-05-28,2025-06-01,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0144,163632,200541,30-09-2024,15-05-2025,Active,1,35642.04,804,North,2024-09-30,2025-05-15,False,True,True,False,False,2,5,"Payment Overdue, Overlimit Violation"
CUST0145,53051,23803,24-06-2025,15-05-2025,Closed,12,39150.03,74,South,2025-06-24,2025-05-15,False,True,False,False,False,1,3,Payment Overdue
CUST0146,164692,19870,12-02-2025,18-06-2025,Active,42,8013.27,2175,North,2025-02-12,2025-06-18,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0147,137235,172813,12-05-2025,11-06-2025,Active,42,11022.69,3924,North,2025-05-12,2025-06-11,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0148,123523,72124,12-08-2024,13-06-2025,Closed,47,35989.14,2089,South,2024-08-12,2025-06-13,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0149,144476,26790,24-01-2025,09-07-2025,Active,10,25205.09,40,North,2025-01-24,2025-07-09,False,False,True,False,False,1,2,Overlimit Violation
CUST0150,67019,25289,22-01-2025,05-07-2025,Delinquent,46,37977.13,2081,West,2025-01-22,2025-07-05,False,False,False,False,True,1,1,Late Fee Alert
CUST0151,133613,15485,12-05-2025,14-06-2025,Delinquent,22,6042.89,4683,North,2025-05-12,2025-06-14,False,False,True,False,True,2,3,"Overlimit Violation, Late Fee Alert"
CUST0152,136672,44482,07-03-2025,22-05-2025,Active,15,27287.59,1622,West,2025-03-07,2025-05-22,False,False,True,False,False,1,2,Overlimit Violation
CUST0153,123847,86188,07-04-2025,15-05-2025,Active,30,19562.26,341,West,2025-04-07,2025-05-15,False,True,True,False,False,2,5,"Payment Overdue, Overlimit Violation"
CUST0154,132750,138498,16-11-2024,13-06-2025,Watchlist,10,23393.01,4052,West,2024-11-16,2025-06-13,False,False,True,True,True,3,7,"Overlimit Violation, High-Risk Status, Late Fee Alert"
CUST0155,78251,9435,20-04-2025,17-05-2025,Delinquent,15,30593.94,2074,East,2025-04-20,2025-05-17,False,True,True,False,True,3,6,"Payment Overdue, Overlimit Violation, Late Fee Alert"
